       Dirección Corporativa de Administración y Servicios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Subdirección de Servicios de Salud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Gerencia de Prevención Medica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2016 (Casos Nuevos Notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total general
Fiebre tifoidea(A01.0),,,,,,,2,,2,2,2,4,,,,,,,,,,,,,,,,,,,0,0,0,6
Giardiasis(A07.1),,,,,,,1,1,2,,1,1,,,,,,,,,,,,,,,,1,,1,2,0,2,6
Gingivitis y enfermedad periodontal(K05),,,,5,9,14,18,24,42,55,62,117,66,84,150,48,35,83,296,217,513,114,92,206,291,242,533,169,146,317,344,316,660,2635
Hepatitis vírica A(B15),,,,,,,,,,1,,1,,1,1,,,,3,6,9,,,,,,,,,,0,0,0,11
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,0,0,0,1
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,1,1,2,,1,1,,1,1,,,,0,0,0,4
Herpes genital(A60.0),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,1,0,1,1,3
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,1,1,,2,2,,23,23,,12,12,0,37,37,75
Hipertensión arterial(I10-I15),,,,,,,,,,,,,1,4,5,1,2,3,67,102,169,52,56,108,134,119,253,59,50,109,128,112,240,887
Infección asociada a la atención de la salud(S/C),3,6,9,,2,2,,,,2,1,3,,,,2,1,3,14,4,18,5,13,18,9,11,20,4,12,16,68,76,144,233
"Infección de vías urinarias(N30, N34, N39.0)",12,5,17,113,30,143,238,73,311,184,79,263,190,50,240,83,18,101,1004,240,1244,467,138,605,1139,303,1442,560,233,793,1918,840,2758,7917
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,,,,1,1,,4,4,,1,1,,1,1,,,,0,0,0,7
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,1,1,,1,1,1,1,2,9,1,10,2,,2,10,2,12,1,1,2,1,0,1,31
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",25,38,63,227,283,510,365,387,752,322,343,665,181,154,335,52,48,100,603,549,1152,236,196,432,501,402,903,223,146,369,536,315,851,6132
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",424,543,967,2118,2277,4395,3160,3370,6530,2806,3311,6117,1788,1669,3457,581,413,994,5131,3470,8601,2081,1428,3509,4874,2974,7848,2189,1402,3591,4960,3454,8414,54423
Influenza(J09-J11),1,3,4,14,17,31,28,22,50,32,41,73,37,39,76,10,11,21,139,113,252,46,16,62,83,54,137,31,25,56,78,45,123,885
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,,,,,,,13,8,21,14,4,18,17,8,25,17,5,22,39,16,55,141
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,1,1,0,0,0,3
Intoxicación alimentaria bacteriana(A05),,,,2,3,5,5,6,11,,1,1,1,1,2,,,,1,2,3,1,1,2,,,,,,,1,0,1,25
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,,,,,,,,1,1,,,,1,,1,3,,3,2,2,4,2,1,3,1,,1,0,1,1,14
Intoxicación por plaguicidas(T60),,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,,,,0,0,0,3
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,,,,,,,,,,,,,,,,,,3,2,5,,,,,,,,,,0,0,0,5
Labio y paladar hendido(Q35-Q37),1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1
Leucemia(C91-C95),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,0,0,1
Linfoma Hodking(C81),,,,,,,,,,,,,1,,1,,,,,,,,1,1,,,,,,,0,0,0,2
Linfoma no Hodking(C82-C85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Meningitis tuberculosa(A17.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1
"Mordedura por otras serpientes(T63.0, X20 EXCEPTO U60.0 y U60.1)",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,0,0,1
Mordeduras por otros mamíferos(W55),1,,1,2,1,3,3,1,4,1,2,3,1,1,2,,,,2,2,4,1,2,3,3,4,7,2,,2,3,3,6,35
Mordeduras por perro(W54),,,,1,3,4,9,6,15,6,12,18,5,11,16,3,1,4,25,23,48,7,11,18,24,16,40,13,13,26,21,16,37,226
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",,1,1,8,7,15,5,2,7,1,3,4,1,1,2,,,,8,7,15,3,3,6,14,13,27,9,15,24,139,125,264,365
Obesidad(E66),,,,11,11,22,82,58,140,91,121,212,43,53,96,16,7,23,88,77,165,34,25,59,55,49,104,19,13,32,22,24,46,899
Otitis media aguda(H65.0-H65.1),2,11,13,41,49,90,44,71,115,35,40,75,15,14,29,3,2,5,36,22,58,16,12,28,22,14,36,19,4,23,20,12,32,504
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",,,,16,12,28,39,20,59,20,21,41,13,10,23,1,,1,14,8,22,2,4,6,12,11,23,11,13,24,13,13,26,253
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,1,,1,,,,,,,,,,,4,4,,,,1,,1,,,,0,0,0,6
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,0,1,1,3
Otras salmonelosis(A02),,,,,,,1,1,2,3,2,5,,,,,,,2,1,3,,,,,,,1,,1,1,0,1,12
Paludismo por plasmodium vivax(B51),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,0,0,0,1
Parotiditis infecciosa(B26),,,,,2,2,1,3,4,1,2,3,1,,1,,,,,3,3,1,1,2,1,1,2,1,1,2,1,1,2,21
Peatón lesionado en accidente de transporte(V01-V09),,,,,,,1,,1,,,,,,,,,,,,,,,,1,,1,1,1,2,1,3,4,8
"Picadura o intoxicación por otros animales ponzoñosos(T63.1, T63.5-T63.9, X27, U60.8)",,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,0,0,0,2
Quemaduras(T20-T32),,1,1,3,1,4,6,7,13,8,5,13,3,1,4,2,2,4,44,38,82,16,13,29,27,29,56,9,4,13,25,15,40,259
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,,,1,4,5,,,,,,,,,,0,0,0,5
Tripanosomiasis americana (enfermedad de Chagas) crónica(B57.2-B57.5),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,0,0,1
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,1,1,2,1,1,2,6
Tuberculosis respiratoria(A15-A16),,,,,,,,,,,,,,,,,,,1,1,2,,,,2,3,5,1,1,2,3,5,8,17
Tumor maligno de la mama(C50),,,,,,,,,,,,,,,,,,,3,,3,9,,9,14,1,15,11,,11,23,1,24,62
Tumor maligno de la próstata(C61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,6,6,7
Tumor maligno de riñón(C64),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,0,2,2,3
Tumor maligno del colon y recto(C18-C21),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,4,1,5,7
Tumor maligno del cuello del útero(C53),,,,,,,,,,,,,,,,,,,6,,6,,,,2,,2,,,,0,0,0,8
Tumor maligno del estómago(C16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2
Tumor maligno del ovario(C56),,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,0,0,0,1
Tumor maligno del páncreas(C25),,,,,,,,,,,,,,,,,,,,,,,,,2,,2,1,,1,0,0,0,3
"Úlceras, gastritis y duodenitis(K25-K29)",,,,,2,2,18,13,31,44,36,80,50,39,89,27,19,46,116,71,187,42,25,67,97,62,159,56,30,86,116,70,186,933
Varicela(B01),,1,1,3,4,7,13,6,19,8,16,24,5,6,11,2,1,3,4,6,10,1,,1,2,2,4,,1,1,0,1,1,82
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1
Vulvovaginitis(N76),,,,,,,,,,1,,1,4,,4,6,,6,55,,55,24,,24,36,,36,12,,12,9,0,9,147
Total general,504,647,1151,2737,2889,5626,4286,4396,8682,3802,4338,8140,2560,2293,4853,888,607,1495,8405,5545,13950,3455,2298,5753,8043,4909,12952,3678,2401,6081,9291,6185,15476,84159
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2024 PRELIMINAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2024 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABRIL-JUNIO 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,Total De 50 a 59 años,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",1,,1,2,,2,1,2,3,4,3,7,2,17,19,1,3,4,28,36,64,8,16,24,5,14,19,1,2,3,3,5,8,154
"Amebiasis intestinal(A06.0-A06.3, A06.9)",1,,1,6,5,11,5,4,9,5,3,8,3,1,4,,1,1,4,7,11,1,2,3,2,2,4,4,2,6,3,3,6,64
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,1,,1,1,2,3,2,,2,2,,2,1,,1,,,,,,,,,,,,,1,,1,10
Ascariasis(B77),,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
"Asma(J45, J46)",,3,3,30,25,55,35,45,80,20,38,58,15,8,23,4,1,5,23,7,30,11,2,13,22,7,29,7,2,9,24,7,31,336
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,1,,1,6,,6,2,,2,31,,31,7,1,8,20,2,22,10,,10,8,1,9,89
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,3,3,5
Conjuntivitis(H10),27,36,63,136,148,284,186,173,359,101,111,212,64,54,118,31,24,55,322,311,633,122,119,241,333,252,585,159,113,272,363,233,596,3418
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,1,1,,,,,,,1,,1,,,,,3,3,1,1,2,2,,2,1,1,2,1,1,2,13
COVID-19(U07.1-U07.2),,,,3,2,5,4,8,12,5,6,11,2,3,5,2,,2,23,16,39,5,10,15,16,14,30,3,5,8,57,34,91,218
Dengue con signos de alarma(A97.1),,,,,2,2,1,2,3,5,7,12,11,8,19,,,,9,7,16,2,3,5,2,8,10,4,6,10,9,7,16,93
Dengue grave(A97.2),,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,1,,1,3
"Dengue no grave(A97.0, A97.9)",,,,1,3,4,4,7,11,15,18,33,4,8,12,2,2,4,15,22,37,6,8,14,7,6,13,2,3,5,3,3,6,139
Depresión(F32),,,,,,,,,,3,2,5,6,6,12,2,,2,5,1,6,9,1,10,5,2,7,2,2,4,10,3,13,59
Desnutrición leve(E44.1),1,1,2,1,,1,2,2,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,9
Desnutrición moderada(E44.0),,,,,,,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,1,1,3
Desnutrición severa(E40-E43),,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,1
Diabetes mellitus en el embarazo(O24.4),,,,,,,,,,,,,,,,,,,3,,3,,,,,,,,,,,,,3
Diabetes mellitus tipo 1(E10),,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,1
Diabetes mellitus tipo 2(E11-E14),,,,,,,,,,,,,,,,3,2,5,52,72,124,55,45,100,101,117,218,48,36,84,86,65,151,682
Displasia cervical leve y moderada(N87.0-N87.1),,,,,,,,,,,,,1,,1,2,,2,25,,25,6,,6,20,,20,13,,13,9,,9,76
"Displasia cervical severa y CaCu in situ(N87.2, D06)",,,,,,,,,,,,,,,,1,,1,7,,7,,,,6,,6,1,,1,3,,3,18
"Edema, proteinuria y transtornos hipertensivos en el embarazo, parto y puerperio(O10-O16)",,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,4
"Efectos del calor y de la luz(T67, X30)",,,,,,,,,,,,,,,,,3,3,,1,1,1,,1,,1,1,,,,,,,6
Enfermedad alcohólica del hígado(K70 EXCEPTO K70.3),,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,2,2,5,7,11
"Enfermedad cerebrovascular(I60-I67, I69)",,,,,,,,,,,,,,,,1,,1,5,3,8,9,2,11,14,18,32,15,19,34,102,99,201,287
Enfermedad de Alzheimer(G30),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
Enfermedad de Parkinson(G20),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,3
Enfermedad febril exantemática(U97),,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1
Enfermedad isquémica del corazón(I20-I25),,,,,,,,,,,,,,,,,,,8,13,21,10,19,29,20,48,68,16,37,53,84,92,176,347
Enterobiasis(B80),,,,1,,1,2,,2,,,,,,,,,,2,,2,1,,1,1,,1,,1,1,4,4,8,16
Erisipela(A46),,,,,,,,,,,,,,,,,,,1,2,3,,1,1,1,,1,,,,1,3,4,9
Escabiosis(B86),1,,1,4,1,5,1,7,8,3,8,11,1,4,5,2,,2,6,2,8,3,4,7,3,3,6,1,2,3,14,6,20,76
Escarlatina(A38),,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1
"Eventos supuestamente asociados a la vacunación (ESAVI)(Y58, Y59)",,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,,1,1,,1,4
"Faringitis y amigdalitis estreptocócicas(J02.0, J03.0)",,,,4,2,6,1,3,4,1,3,4,,1,1,,,,,2,2,1,,1,,1,1,,,,1,1,2,21
Fiebre tifoidea(A01.0),,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,1,,,,2
Giardiasis(A07.1),,,,,2,2,1,,1,,,,,2,2,,,,,,,,,,,1,1,,,,,,,6
Gingivitis y enfermedad periodontal(K05),,1,1,8,5,13,33,33,66,48,54,102,77,89,166,50,54,104,292,192,484,124,89,213,330,285,615,185,144,329,340,347,687,2780
Hepatitis vírica A(B15),,,,,,,,,,,1,1,,,,,1,1,,1,1,,,,,2,2,,,,,,,5
Hepatitis vírica B(B16),,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,1,1,2,4
"Hepatitis vírica C(B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,2,2,,,,1,1,2,1,,1,2,,2,7
Herpes genital(A60.0),,,,,,,,,,,,,,,,1,,1,2,1,3,1,1,2,1,,1,,,,,,,7
Hiperplasia de la próstata(N40),,,,,,,,,,,,,,,,,,,,1,1,,1,1,,16,16,,11,11,,34,34,63
Hipertensión arterial(I10-I15),,,,,,,,,,,,,,,,2,3,5,49,85,134,51,52,103,97,113,210,47,44,91,83,64,147,690
Infección asociada a la atención de la salud(S/C),2,1,3,2,,2,1,1,2,,1,1,,1,1,1,,1,12,10,22,6,6,12,18,22,40,19,5,24,58,55,113,221
"Infección de vías urinarias(N30, N34, N39.0)",12,7,19,95,40,135,213,64,277,155,64,219,171,47,218,100,28,128,1039,251,1290,445,124,569,1153,362,1515,655,204,859,2134,873,3007,8236
"Infección por el virus de la inmunodeficiencia humana(B20-B24, Z21)",,,,,,,,,,,,,,,,,,,,7,7,,,,1,1,2,1,1,2,,2,2,13
Infección por virus del papiloma humano(B97.7),,,,,,,,,,,,,1,,1,1,2,3,6,,6,5,,5,10,6,16,1,,1,1,,1,33
"Infecciones intestinales por otros organismos y las mal definidas(A04, A08-A09 EXCEPTO A08.0)",15,32,47,116,139,255,128,169,297,137,155,292,107,106,213,34,24,58,226,195,421,83,92,175,188,137,325,77,70,147,245,132,377,2607
"Infecciones respiratorias agudas(J00-J06, J20, J21 EXCEPTO J02.0 Y J03.0)",347,454,801,1664,1977,3641,2386,2560,4946,2111,2278,4389,1327,1284,2611,488,366,854,3211,2159,5370,1294,822,2116,2825,1762,4587,1342,778,2120,2860,1727,4587,36022
Influenza(J09-J11),1,,1,4,2,6,8,12,20,13,9,22,9,10,19,4,2,6,30,15,45,2,2,4,15,13,28,2,5,7,46,25,71,229
Insuficiencia venosa periférica(I87.2),,,,,,,,,,,,,,,,,,,25,5,30,15,5,20,51,8,59,24,7,31,65,21,86,226
Intoxicación aguda por alcohol(F10.0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1
Intoxicación alimentaria bacteriana(A05),,1,1,2,1,3,2,2,4,2,1,3,2,3,5,,,,6,5,11,2,2,4,6,6,12,3,3,6,4,3,7,56
"Intoxicación por picadura de alacrán(T63.2, X22)",,,,1,1,2,,1,1,3,1,4,3,3,6,2,2,4,5,4,9,,1,1,8,,8,3,2,5,9,1,10,50
"Intoxicación por ponzoña de animales(T63, X21, X27, EXCEPTO T63.0 Y T63.2)",,1,1,,,,,,,,,,,,,,,,1,,1,,,,1,1,2,,1,1,,,,5
Labio y paladar hendido(Q35-Q37),,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
Linfoma no Hodking(C82-C85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2
Mordeduras por otros mamíferos(W55),,,,,1,1,1,1,2,1,2,3,5,,5,3,1,4,6,2,8,1,1,2,9,4,13,2,,2,7,7,14,54
Mordeduras por perro(W54),,,,3,,3,4,4,8,5,10,15,5,14,19,,3,3,25,29,54,6,10,16,17,15,32,11,13,24,29,20,49,223
"Neumonías y bronconeumonías(J12-J18 EXCEPTO J18.2, J13 y J14)",1,1,2,4,,4,5,4,9,1,4,5,3,,3,,,,4,5,9,3,4,7,9,15,24,15,7,22,81,101,182,267
Obesidad(E66),,,,6,6,12,43,56,99,74,94,168,56,39,95,13,14,27,94,84,178,45,40,85,65,58,123,27,20,47,26,27,53,887
Otitis media aguda(H65.0-H65.1),1,10,11,27,23,50,39,42,81,21,35,56,22,14,36,4,5,9,26,8,34,9,14,23,20,7,27,8,8,16,16,17,33,376
"Otras helmintiasis(B65-B67, B70-B76, B78, B79, B81-B83 EXCEPTO B73 y B75)",1,,1,13,22,35,23,27,50,19,40,59,17,9,26,1,3,4,9,10,19,5,2,7,12,7,19,9,8,17,10,7,17,254
"Otras hepatitis víricas(B17-B19 EXCEPTO B17.1, B18.2)",,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1
"Otras infecciones intestinales debidas a protozoarios(A07.0, A07.2, A07.9)",,,,2,1,3,,2,2,,,,,,,,,,,,,,1,1,,,,,1,1,1,,1,8
Otras salmonelosis(A02),,,,,,,,3,3,2,3,5,1,,1,,,,2,,2,,,,1,,1,1,,1,1,,1,14
Parotiditis infecciosa(B26),,,,,3,3,4,2,6,2,2,4,,1,1,,,,3,2,5,,,,2,1,3,1,,1,,1,1,24
Peatón lesionado en accidente de transporte(V01-V09),,,,,1,1,,1,1,,1,1,2,,2,,,,2,,2,,,,3,,3,2,2,4,6,,6,20
Picadura de abeja(U60.4),,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1
"Picadura o intoxicación por otros animales ponzoñosos(T63.1, T63.5-T63.9, X27, U60.8)",,,,,,,,,,,,,1,,1,,,,,,,,,,2,,2,,,,,,,3
Quemaduras(T20-T32),1,,1,2,6,8,2,5,7,4,3,7,3,3,6,3,3,6,44,38,82,12,14,26,24,24,48,16,11,27,21,21,42,260
Shigelosis(A03),,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1
Sífilis adquirida(A51-A53),,,,,,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,,,,2
Tricomoniasis urogenital(A59.0),,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,2
"Tuberculosis otras formas(A17.1, A17.8, A17.9, A18-A19)",,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,,,,,,,2
Tuberculosis respiratoria(A15-A16),,,,,,,1,,1,,,,,,,,,,,,,,,,,3,3,1,3,4,7,9,16,24
Tumor maligno de la mama(C50),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,4,0,4,4,0,4,11,0,11,23
Tumor maligno de la próstata(C61),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9
Tumor maligno de riñón(C64),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,,0,0
"Tumor maligno de tráquea, bronquios y pulmón(C33-C34)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,,0,0
Tumor maligno del colon y recto(C18-C21),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,,0,0
Tumor maligno del cuello del útero(C53),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,5,0,0,0,2,0,2,8
Tumor maligno del cuerpo del útero(C54),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tumor maligno del hígado y de las vías biliares intrahepáticas(C22),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,1,2
"Úlceras, gastritis y duodenitis(K25-K29)",,,,,4,4,6,8,14,43,26,69,49,31,80,21,21,42,141,59,200,46,25,71,91,57,148,68,25,93,143,79,222,943
Varicela(B01),,,,4,5,9,10,10,20,8,7,15,,5,5,,,,2,3,5,,,,,1,1,,,,,1,1,56
Violencia intrafamiliar(Y07.0-Y07.2),,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,1
Vulvovaginitis(N76),,,,,,,1,,1,2,,2,9,,9,6,,6,61,,61,20,,20,33,,33,7,,7,16,,16,155
Total general,412,549,961,2142,2428,4570,3156,3265,6421,2818,2992,5810,1989,1772,3761,788,568,1356,5901,3684,9585,2438,1542,3980,5586,3429,9015,2820,1607,4427,7017,4165,11182,61068
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente: SINAVE/PEMEX. Cubos dinámicos. SUIVE 2024 PRELIMINAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Morbilidad en Petróleos Mexicanos 2024 (casos nuevos notificados),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JULIO-SEPTIEMBRE 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casos,Grupo de edad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,De 00 años,,,De 01 a 04 años,,Total De 01 a 04 años,De 05 a 09 años,,Total De 05 a 09 años,De 10 a 14 años,,Total De 10 a 14 años,De 15 a 19 años,,Total De 15 a 19 años,De 20 a 24 años,,Total De 20 a 24 años,De 25 a 44 años,,Total De 25 a 44 años,De 45 a 49 años,,Total De 45 a 49 años,De 50 a 59 años,,,De 60 a 64 años,,Total De 60 a 64 años,De 65 y más años,,Total De 65 y más años,Total
Padecimiento,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,Femenino,Masculino,Total,
"Accidentes de transporte en vehículos con motor(V20-V29, V40-V79)",1,,1,1,,1,5,4,9,,5,5,7,20,27,1,2,3,24,43,67,6,8,14,4,10,14,4,7,11,2,,2,154
"Amebiasis intestinal(A06.0-A06.3, A06.9)",,1,1,3,2,5,2,1,3,2,3,5,1,1,2,,,,2,8,10,,2,2,1,2,3,1,1,2,4,1,5,38
"Anorexia, bulimia y otros trastornos alimentarios(F50)",,,,,,,2,1,3,3,,3,2,1,3,,,,1,,1,,1,1,,,,,,,,,,11
Ascariasis(B77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1
"Asma(J45, J46)",,3,3,20,18,38,22,36,58,14,32,46,4,4,8,3,2,5,4,5,9,5,1,6,17,6,23,,5,5,18,7,25,226
Brucelosis(A23),,,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,,,2
Candidiasis urogenital(B37.3-B37.4),,,,,,,,,,2,,2,1,,1,1,,1,18,2,20,6,,6,22,2,24,12,,12,12,1,13,79
Cirrosis hepática alcohólica(K70.3),,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1
Cólera(A00),,,,,,,,,,,,,1,,1,1,,1,4,7,11,2,1,3,4,3,7,,,,4,3,7,30
Conjuntivitis(H10),11,17,28,68,79,147,97,125,222,100,105,205,88,76,164,39,30,69,495,561,1056,196,210,406,525,425,950,245,172,417,557,380,937,4601
"Contacto traumático con avispas, avispones y abejas(X23)",,,,,1,1,2,,2,,1,1,,,,,,,2,,2,1,,1,,3,3,1,,1,,2,2,13
